msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
16:9 Letterbox,'',16:9 Letterbox,,16:9 Letterbox,INCOMPLETE (SOME),
16:9 always,'',16:9 always,,16:9 always,INCOMPLETE (SOME),
18 V,'',18 V,,18 V,INCOMPLETE (SOME),
1X,'',1X,,1X,INCOMPLETE (SOME),
1st Infobar timeout,'',1st Infobar timeout,,1st Infobar timeout,INCOMPLETE (SOME),
23.976,'',23.976,,23.976,INCOMPLETE (SOME),
24,'',24,,24,INCOMPLETE (SOME),
25,'',25,,25,INCOMPLETE (SOME),
29.97,'',29.97,,29.97,INCOMPLETE (SOME),
2X,'',2X,,2X,INCOMPLETE (SOME),
30,'',30,,30,INCOMPLETE (SOME),
3D Mode,'',3D Mode,,3D Mode,INCOMPLETE (SOME),
3D Surround,'',3D Surround,,3D Surround,INCOMPLETE (SOME),
3D setup,,3D setup,,,SOLITARY,
3X,'',3X,,3X,INCOMPLETE (SOME),
3d mode,'',3d mode,,,INCOMPLETE (SOME),
4:3,'',4:3,,4:3,INCOMPLETE (SOME),
4:3 Letterbox,'',4:3 Letterbox,,4:3 Letterbox,INCOMPLETE (SOME),
4:3 PanScan,'',4:3 PanScan,,4:3 PanScan,INCOMPLETE (SOME),
4X,'',4X,,4X,INCOMPLETE (SOME),
720p,'',720p,,720p,INCOMPLETE (SOME),
720p 24Hz,'',720p 24Hz,,720p 24Hz,INCOMPLETE (SOME),
<Current movielist location>,'',<Current movie list location>,,<Current movielist location>,MISMATCH (SOME),
<Default movie location>,'',<Default movie location>,,<Default movie location>,INCOMPLETE (SOME),
<Last timer location>,'',<Last timer location>,,<Last timer location>,INCOMPLETE (SOME),
<unknown>,'',<unknown>,,<unknown>,INCOMPLETE (SOME),
??,'',??,,??,INCOMPLETE (SOME),
A,'',A,,A,INCOMPLETE (SOME),
"A background update check is in progress, please wait a few minutes and try again.",'',"A background update check is in progress, please wait a few minutes and try again.",,"A background update check is in progress, please wait a few minutes and try again.",INCOMPLETE (SOME),
A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,'',A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,,A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,INCOMPLETE (SOME),
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,'',A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,,A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,INCOMPLETE (SOME),
A finished power timer wants to shut down\nyour %s %s. Shutdown now?,,A finished power timer wants to shut down\nyour %s %s. Shutdown now?,,,SOLITARY,
A finished powertimer wants to reboot your %s %s.\nDo that now?,'',A finished powertimer wants to reboot your %s %s.\nDo that now?,,A finished powertimer wants to reboot your %s %s.\nDo that now?,INCOMPLETE (SOME),
A finished powertimer wants to restart the user interface.\nDo that now?,'',A finished powertimer wants to restart the user interface.\nDo that now?,,A finished powertimer wants to restart the user interface.\nDo that now?,INCOMPLETE (SOME),
A finished powertimer wants to set your\n%s %s to standby. Do that now?,'',A finished powertimer wants to set your\n%s %s to standby. Do that now?,,A finished powertimer wants to set your\n%s %s to standby. Do that now?,INCOMPLETE (SOME),
A finished powertimer wants to shutdown your %s %s.\nDo that now?,'',A finished powertimer wants to shutdown your %s %s.\nDo that now?,,A finished powertimer wants to shutdown your %s %s.\nDo that now?,INCOMPLETE (SOME),
A finished record timer wants to set your\n%s %s to standby. Do that now?,'',A finished record timer wants to set your\n%s %s to standby. Do that now?,,A finished record timer wants to set your\n%s %s to standby. Do that now?,INCOMPLETE (SOME),
A finished record timer wants to shut down\nyour %s %s. Shutdown now?,'',A finished record timer wants to shut down\nyour %s %s. Shutdown now?,,A finished record timer wants to shut down\nyour %s %s. Shutdown now?,INCOMPLETE (SOME),
A recording has been started:\n%s,'',A recording has been started:\n%s,,A recording has been started:\n%s,INCOMPLETE (SOME),
A recording is currently running.\nWhat do you want to do?,'',A recording is currently running.\nWhat do you want to do?,,,INCOMPLETE (SOME),
A recording is currently running. Please stop the recording before trying to configure the positioner.,'',A recording is currently running. Please stop the recording before trying to configure the positioner.,,,INCOMPLETE (SOME),
A recording is currently running. Please stop the recording before trying to scan.,'',A recording is currently running. Please stop the recording before trying to scan.,,A recording is currently running. Please stop the recording before trying to scan.,INCOMPLETE (SOME),
A recording is currently running. Please stop the recording before trying to start the satfinder.,'',A recording is currently running. Please stop the recording before trying to start the sat finder.,,,INCOMPLETE (SOME),
A repeating timer or just once?,'',A repeating timer or just once?,,A repeating timer or just once?,INCOMPLETE (SOME),
A required tool (%s) was not found.,'',A required tool (%s) was not found.,,A required tool (%s) was not found.,INCOMPLETE (SOME),
A search for available updates is currently in progress.,'',A search for available updates is currently in progress.,,A search for available updates is currently in progress.,INCOMPLETE (SOME),
A second configured interface has been found.\n\nDo you want to disable the second network interface?,'',A second configured interface has been found.\n\nDo you want to disable the second network interface?,,A second configured interface has been found.\n\nDo you want to disable the second network interface?,INCOMPLETE (SOME),
A sleep timer wants to set your\n%s %s to standby. Do that now?,'',A sleep timer wants to set your\n%s %s to standby. Do that now?,,,INCOMPLETE (SOME),
A sleep timer wants to shut down\nyour %s %s. Shutdown now?,'',A sleep timer wants to shut down\nyour %s %s. Shutdown now?,,,INCOMPLETE (SOME),
A small overview of the available icon states and actions.,'',A small overview of the available icon states and actions.,,A small overview of the available icon states and actions.,INCOMPLETE (SOME),
A timer failed to record!\nDisable TV and try again?\n,'',A timer failed to record!\nDisable TV and try again?\n,,A timer failed to record!\nDisable TV and try again?\n,INCOMPLETE (SOME),
A/V settings,,A/V settings,,,SOLITARY,
AA,,AA,,,SOLITARY,
AAC downmix,'',AAC downmix,,AAC downmix,INCOMPLETE (SOME),
AB,,AB,,,SOLITARY,
ACQUIRING TSID/ONID,,ACQUIRING TSID/ONID,,ACQUIRING TSID/ONID,UNCHANGED (SOME),
AFP Setup,'',AFP Setup,,AFP Setup,INCOMPLETE (SOME),
AFP setup,,AFP setup,,,SOLITARY,
AV aspect is %s.,'',AV aspect is %s.,,AV aspect is %s.,INCOMPLETE (SOME),
