msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
%d/%-m ,,,,'',SOLITARY,
%d/%-m/%Y,,,,'',SOLITARY,
%d/%m,,,,'',SOLITARY,
%d/%m ,,,,'',SOLITARY,
%d/%m/%Y,,,,'',SOLITARY,
%d=%b_,,,,'',SOLITARY,
%m/%-d,,,,'',SOLITARY,
%m/%-d ,,,,'',SOLITARY,
%m/%-d/%Y,,,,'',SOLITARY,
%m/%d,,,,'',SOLITARY,
%m/%d ,,,,'',SOLITARY,
%m/%d/%Y,,,,'',SOLITARY,
%s %s advanced remote control (native),,,,%s %s advanced remote control (native),SOLITARY,
%s %s format data DVD (HDTV compatible),,,,%s %s format data DVD (HDTV compatible),SOLITARY,
%s %s front panel,,,,%s %s front panel,SOLITARY,
%s %s ir keyboard,,,,%s %s ir keyboard,SOLITARY,
%s %s ir mouse,,,,%s %s ir mouse,SOLITARY,
%s %s remote control (native),,,,%s %s remote control (native),SOLITARY,
%s %s software because updates are available.,,,,%s %s software because updates are available.,SOLITARY,
%s (%s)\n,,,,%s (%s)\n,SOLITARY,
%s is no longer used. Should it be deleted?,,,,%s is no longer used. Should it be deleted?,SOLITARY,
%s of %s GB,,,,'',SOLITARY,
%s of %s MB,,,,'',SOLITARY,
%s/%s: %s,,,,%s/%s: %s,SOLITARY,
%s:%s,,,,%s:%s,SOLITARY,
%s?,,,,'',SOLITARY,
'%s' contains %d file(s) and %d sub-directories.\n,,,,'%s' contains %d file(s) and %d sub-directories.\n,SOLITARY,
'Network peer' automatically detects other Enigma2 receivers on the local network. You can also manually enter the URL or IP address.,,,,'',SOLITARY,
'Save' changes active language.\n'Add Language' or MENU adds additional language(s).\n'Delete Language' allows either deletion of all but English and active language OR selected language,,,,'',SOLITARY,
( All readers),,,,( All readers),SOLITARY,
(Show only reader:,,,,(Show only reader:,SOLITARY,
(You are currently using a temporary sort method),,,,'',SOLITARY,
(ZAP as PiP),,,,'',SOLITARY,
(ZAP),,,,(ZAP),SOLITARY,
(empty),,,,(empty),SOLITARY,
(show optional DVD audio menu),,,,(show optional DVD audio menu),SOLITARY,
* = Restart Required,,,,* = Restart Required,SOLITARY,
* Only available if more than one interface is active.,,,,* Only available if more than one interface is active.,SOLITARY,
* current animation,,,,* current animation,SOLITARY,
** Setup error: '%s' section not found! **,,,,'',SOLITARY,
** Setup error: '%s' title is missing or blank!,,,,'',SOLITARY,
-NO SERVICE\n,,,,'',SOLITARY,
-SERVICE ERROR:%d\n,,,,'',SOLITARY,
.,,,,'',SOLITARY,
/s,,,,/s,SOLITARY,
1.0,,,,1.0,SOLITARY,
1.1,,,,1.1,SOLITARY,
1.2,,,,1.2,SOLITARY,
10 MB/s,,,,'',SOLITARY,
100 MB/s,,,,'',SOLITARY,
1080i,,,,1080i,SOLITARY,
1080p 24Hz,,,,1080p 24Hz,SOLITARY,
1080p 25Hz,,,,1080p 25Hz,SOLITARY,
1080p 30Hz,,,,1080p 30Hz,SOLITARY,
1080p 50Hz,,,,1080p 50Hz,SOLITARY,
1080p 60Hz,,,,1080p 60Hz,SOLITARY,
10bit,,,,'',SOLITARY,
12V output,,,,12V output,SOLITARY,
12V output.,,,,12V output.,SOLITARY,
12bit,,,,'',SOLITARY,
13 V,,,,13 V,SOLITARY,
16:10,,,,16:10,SOLITARY,
16:10 Letterbox,,,,16:10 Letterbox,SOLITARY,
16:10 PanScan,,,,16:10 PanScan,SOLITARY,
16:9,,,,16:9,SOLITARY,
