msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
3D surround speaker position,,,'','',EMPTY (SOME),
3d mode,'',3d mode,3d mode,,INCOMPLETE (SOME),
4,'',,4,,INCOMPLETE (SOME),
420,'',,'','',EMPTY (SOME),
422,'',,'','',EMPTY (SOME),
444,'',,'','',EMPTY (SOME),
4:3,'',4:3,4:3,4:3,INCOMPLETE (ALL),
4:3 Letterbox,'',4:3 Letterbox,4:3 Letterbox,4:3 Letterbox,INCOMPLETE (ALL),
4:3 PanScan,4:3 Pan and Scan,4:3 PanScan,4:3 PanScan,4:3 PanScan,MISMATCH (ALL),
5,'',,5,,INCOMPLETE (SOME),
50 MB/s,'',,'','',EMPTY (SOME),
6,'',,6,'',INCOMPLETE (SOME),
7,'',,7,,INCOMPLETE (SOME),
8,'',,8,,INCOMPLETE (SOME),
8bit,8-bit,,'','',INCOMPLETE (SOME),
9,'',,9,,INCOMPLETE (SOME),
: 0000 - default (disabled),,,'',,SOLITARY,
<Current movielist location>,<Current movie list location>,<Current movielist location>,<Current movielist location>,<Current movielist location>,MISMATCH (ALL),whitespace
<Default movie location>,'',<Default movie location>,<Default movie location>,<Default movie location>,INCOMPLETE (ALL),
<Last timer location>,'',<Last timer location>,<Last timer location>,<Last timer location>,INCOMPLETE (ALL),
<unknown>,'',<unknown>,<unknown>,<unknown>,INCOMPLETE (ALL),
=NO STREAM\n,'',,'','',EMPTY (SOME),
??,'',??,??,??,INCOMPLETE (ALL),
A,'',A,A,A,INCOMPLETE (ALL),
A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,A configuration file (%s) has been modified since it was installed.\nWould you like to keep your modifications?,A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,MISMATCH (ALL),
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,A configuration file (%s) was modified since installation.\nWould you like to keep your version?,A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,MISMATCH (ALL),
A file from media is in use!,,,'',,SOLITARY,
A finished record timer wants to set your\nreceiver to standby. Do that now?,,,A finished record timer wants to set your\nreceiver to standby. Do that now?,,SOLITARY,
A finished record timer wants to shut down\nyour receiver. Shutdown now?,,,A finished record timer wants to shut down\nyour receiver. Shutdown now?,,SOLITARY,
A record has been started:\n%s,,,A record has been started:\n%s,,SOLITARY,
A recording is currently running.\nWhat do you want to do?,There's a recording in progress.\nWhat would you like to do?,A recording is currently running.\nWhat do you want to do?,A recording is currently running.\nWhat do you want to do?,,MISMATCH (SOME),
A recording is currently running. Please stop the recording before trying to scan.,A recording is currently in progress. Please stop recording before trying to scan.,A recording is currently running. Please stop the recording before trying to scan.,A recording is currently running. Please stop the recording before trying to scan.,A recording is currently running. Please stop the recording before trying to scan.,MISMATCH (ALL),
A recording is currently running. Please stop the recording before trying to start a testing DiSEqC.,,,'',,SOLITARY,
A required tool (%s) was not found.,'',A required tool (%s) was not found.,A required tool (%s) was not found.,A required tool (%s) was not found.,INCOMPLETE (ALL),
A search for available updates is currently in progress.,Searching for available updates...,A search for available updates is currently in progress.,A search for available updates is currently in progress.,A search for available updates is currently in progress.,MISMATCH (ALL),
A second configured interface has been found.\n\nDo you want to disable the second network interface?,A second network interface has been found!\n\nWould you like to disable that interface?,A second configured interface has been found.\n\nDo you want to disable the second network interface?,A second configured interface has been found.\n\nDo you want to disable the second network interface?,A second configured interface has been found.\n\nDo you want to disable the second network interface?,MISMATCH (ALL),
A sleep timer wants to set your\nreceiver to standby. Do that now?,,,A sleep timer wants to set your\nreceiver to standby. Do that now?,,SOLITARY,
A sleep timer wants to shut down\nyour receiver. Shutdown now?,,,A sleep timer wants to shut down\nyour receiver. Shutdown now?,,SOLITARY,
A small overview of the available icon states and actions.,'',A small overview of the available icon states and actions.,A small overview of the available icon states and actions.,A small overview of the available icon states and actions.,INCOMPLETE (ALL),
A timer failed to record!\nDisable TV and try again?\n,'',A timer failed to record!\nDisable TV and try again?\n,A timer failed to record!\nDisable TV and try again?\n,A timer failed to record!\nDisable TV and try again?\n,INCOMPLETE (ALL),
A/V settings,,A/V settings,A/V settings,,UNCHANGED (SOME),
AAC downmix,'',AAC downmix,'',AAC downmix,INCOMPLETE (ALL),
AC3 downmix,Downmix Dolby Digital / Dolby AC-3,'','',,INCOMPLETE (SOME),
ACQUIRING TSID/ONID,,ACQUIRING TSID/ONID,'',ACQUIRING TSID/ONID,INCOMPLETE (SOME),
AGC:,,,'','',EMPTY (SOME),
ASS File,,,'',,SOLITARY,
ASS file,,,'','',EMPTY (SOME),
ATSC,'',,'','',EMPTY (SOME),
ATSC provider,'',,'',,EMPTY (SOME),
Abort,'',Abort,Abort,Abort,INCOMPLETE (ALL),
Abort alternatives edit,,,Abort alternatives edit,,SOLITARY,
Abort bouquet edit,,,Abort bouquet edit,,SOLITARY,
Abort favourites edit,,,Abort favourites edit,,SOLITARY,
About,'',About,About,About,INCOMPLETE (ALL),
Accesspoint:,Access point:,Accesspoint:,Accesspoint:,Accesspoint:,MISMATCH (ALL),whitespace
Activate HbbTV (Redbutton),Activate HbbTV (Red button),'','',,INCOMPLETE (SOME),
Activate Picture in Picture,Start Picture-in-Picture Mode,Activate Picture in Picture,Activate Picture in Picture,Activate Picture in Picture,MISMATCH (ALL),
Activate current configuration,'',Activate current configuration,Activate current configuration,Activate current configuration,INCOMPLETE (ALL),
Activate network settings,'',Activate network settings,Activate network settings,Activate network settings,INCOMPLETE (ALL),
Activate the configured network settings.,'',Activate the configured network settings.,Activate the configured network settings.,Activate the configured network settings.,INCOMPLETE (ALL),
Activate timeshift End,End timeshift mode,,'',,INCOMPLETE (SOME),
Activate timeshift end and pause,End timeshift mode and pause,,'','',INCOMPLETE (SOME),
Adapter settings,'',Adapter settings,Adapter settings,Adapter settings,INCOMPLETE (ALL),
Add,'',Add,Add,Add,INCOMPLETE (ALL),
Add a mark,'',Add a mark,Add a mark,Add a mark,INCOMPLETE (ALL),
Add a nameserver entry,'',Add a nameserver entry,Add a nameserver entry,Add a nameserver entry,INCOMPLETE (ALL),
Add a new title,'',Add a new title,Add a new title,Add a new title,INCOMPLETE (ALL),
Add alternatives,,,Add alternatives,,SOLITARY,
Add bookmark,'',Add bookmark,Add bookmark,Add bookmark,INCOMPLETE (ALL),
Add bouquet,,,Add bouquet,,SOLITARY,
Add bouquet to parental protection,,,'',,SOLITARY,
Add directory to playlist,Add folder to playlist,Add directory to playlist,Add directory to playlist,Add directory to playlist,MISMATCH (ALL),
Add file to playlist,'',Add file to playlist,Add file to playlist,Add file to playlist,INCOMPLETE (ALL),
Add files to playlist,'',Add files to playlist,Add files to playlist,Add files to playlist,INCOMPLETE (ALL),
Add marker,,,Add marker,,SOLITARY,
Add provider,'',Add provider,Add provider,Add provider,INCOMPLETE (ALL),
Add recording (enter recording duration),Record for a specified duration,Add recording (enter recording duration),Add recording (enter recording duration),Add recording (enter recording duration),MISMATCH (ALL),
Add recording (enter recording endtime),Record with a specified end time,Add recording (enter recording endtime),Add recording (enter recording endtime),Add recording (enter recording endtime),MISMATCH (ALL),
Add recording (indefinitely),Record indefinitely,Add recording (indefinitely),Add recording (indefinitely),Add recording (indefinitely),MISMATCH (ALL),
Add recording (stop after current event),Record the current event,Add recording (stop after current event),Add recording (stop after current event),Add recording (stop after current event),MISMATCH (ALL),
Add service,Add channel,Add service,Add service,Add service,MISMATCH (ALL),
Add service to bouquet,,,Add service to bouquet,,SOLITARY,
Add service to favourites,,,Add service to favourites,,SOLITARY,
Add services to this bouquet?,,,Add services to this bouquet?,,SOLITARY,
Add timer,'',Add timer,Add timer,Add timer,INCOMPLETE (ALL),
Add title,'',Add title,Add title,Add title,INCOMPLETE (ALL),
Add to bouquet,,Add to bouquet,Add to bouquet,Add to bouquet,UNCHANGED (SOME),
Add to favourites,,Add to favourites,Add to favourites,Add to favourites,UNCHANGED (SOME),
Add to parental protection,,,Add to parental protection,,SOLITARY,
Add/remove change timer for current event,'',,'',,EMPTY (SOME),
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move the dish from one satellite to another satellite.,Additional options allow you to enter details from your dish positioner's spec sheet so your receiver can work out how long it will take to move the dish from one satellite to another.,,'','',INCOMPLETE (SOME),
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move to another satellite.,'',,'','',EMPTY (SOME),
Adjust 3D settings,'',Adjust 3D settings,Adjust 3D settings,,INCOMPLETE (SOME),
"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.","Adjust the color settings so that all of the color shades are distinguishable, but appear as saturated (rich) as possible.\n\nPress OK to close the video fine-tuning wizard when you're happy with the result, or use the number buttons to show other test screens.","Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.","Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.","Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.",MISMATCH (ALL),
Advanced,advanced,'','',,INCOMPLETE (SOME),
Advanced options,'',Advanced options,Advanced options,Advanced options,INCOMPLETE (ALL),
Advanced options and settings.,,,Advanced options and settings.,,SOLITARY,
Advanced restore,'',Advanced restore,Advanced restore,Advanced restore,INCOMPLETE (ALL),
Advanced software,'',Advanced software,Advanced software,Advanced software,INCOMPLETE (ALL),
Advanced software plugin,'',Advanced software plugin,Advanced software plugin,Advanced software plugin,INCOMPLETE (ALL),
Advanced video enhancement setup,'',Advanced video enhancement setup,Advanced video enhancement setup,Advanced video enhancement setup,INCOMPLETE (ALL),
Advanced video setup,,Advanced video setup,Advanced video setup,,UNCHANGED (SOME),
Afghanistan,'',,'','',EMPTY (SOME),
After event,'',After event,After event,After event,INCOMPLETE (ALL),
Aland Islands,'',,'','',EMPTY (SOME),
Albania,'',,'','',EMPTY (SOME),
Album,'',Album,Album,Album,INCOMPLETE (ALL),
Algeria,'',,'','',EMPTY (SOME),
Alignment of events,Align event title,'','','',INCOMPLETE (ALL),
Alignment of service names,Align channel name,'','',,INCOMPLETE (SOME),
All,'',All,All,All,INCOMPLETE (ALL),
All ages,'',All ages,All ages,All ages,INCOMPLETE (ALL),
All frequency,,,'',,SOLITARY,
All satellites 1 (USALS),'',,'',,EMPTY (SOME),
All satellites 2 (USALS),'',,'',,EMPTY (SOME),
All satellites 3 (USALS),'',,'',,EMPTY (SOME),
All satellites 4 (USALS),'',,'',,EMPTY (SOME),
All services provider,'',,'',,EMPTY (SOME),
All slots,,,'',,SOLITARY,
